t,x,y,z
1.270000000000000018e+00,-1.170722728484057534e-01,1.170722728484057396e-01,5.700623992818872887e-01
1.280000000000000027e+00,-1.194139886183686605e-01,1.194139886183685911e-01,5.689111466379161985e-01
1.290000000000000036e+00,-1.217877311326228951e-01,1.217877311326228812e-01,5.677180574122570045e-01
1.300000000000000044e+00,-1.241935105401299061e-01,1.241935105401297951e-01,5.664818637319770644e-01
1.310000000000000053e+00,-1.266313108459484194e-01,1.266313108459483916e-01,5.652012738387530710e-01
1.320000000000000062e+00,-1.291010884094755951e-01,1.291010884094755673e-01,5.638749727473327811e-01
1.330000000000000071e+00,-1.316027703998408349e-01,1.316027703998407794e-01,5.625016230166798303e-01
1.340000000000000080e+00,-1.341362532100185689e-01,1.341362532100185689e-01,5.610798656415129093e-01
1.350000000000000089e+00,-1.367014008314395845e-01,1.367014008314395290e-01,5.596083210723050705e-01
1.360000000000000098e+00,-1.392980431913515837e-01,1.392980431913514727e-01,5.580855903719961209e-01
1.370000000000000107e+00,-1.419259744555055047e-01,1.419259744555054492e-01,5.565102565179474992e-01
1.380000000000000115e+00,-1.445849512992337105e-01,1.445849512992335717e-01,5.548808858578474501e-01
1.390000000000000124e+00,-1.472746911504314027e-01,1.472746911504312639e-01,5.531960297284579386e-01
1.400000000000000133e+00,-1.499948704084117512e-01,1.499948704084116680e-01,5.514542262462801547e-01
1.409999999999999920e+00,-1.527451226432540998e-01,1.527451226432540166e-01,5.496540022792272273e-01
1.419999999999999929e+00,-1.555250367806280953e-01,1.555250367806279010e-01,5.477938756086149219e-01
1.429999999999999938e+00,-1.583341552779047590e-01,1.583341552779044537e-01,5.458723572906127863e-01
1.439999999999999947e+00,-1.611719722977840996e-01,1.611719722977838498e-01,5.438879542264237754e-01
1.449999999999999956e+00,-1.640379318864606251e-01,1.640379318864604030e-01,5.418391719502464454e-01
1.459999999999999964e+00,-1.669314261639818497e-01,1.669314261639816555e-01,5.397245176439421366e-01
1.469999999999999973e+00,-1.698517935351450403e-01,1.698517935351448460e-01,5.375425033870993019e-01
1.479999999999999982e+00,-1.727983169300727762e-01,1.727983169300726651e-01,5.352916496507963418e-01
1.489999999999999991e+00,-1.757702220843150032e-01,1.757702220843148644e-01,5.329704890429861619e-01
1.500000000000000000e+00,-1.787666758691298374e-01,1.787666758691296987e-01,5.305775703128611243e-01
1.510000000000000009e+00,-1.817867846833589318e-01,1.817867846833588208e-01,5.281114626209346685e-01
1.520000000000000018e+00,-1.848295929191492437e-01,1.848295929191491604e-01,5.255707600807965063e-01
1.530000000000000027e+00,-1.878940815145272170e-01,1.878940815145271059e-01,5.229540865776282077e-01
1.540000000000000036e+00,-1.909791666066495419e-01,1.909791666066493754e-01,5.202601008675475924e-01
1.550000000000000044e+00,-1.940836983003451366e-01,1.940836983003449978e-01,5.174875019606464122e-01
1.560000000000000053e+00,-1.972064595672896603e-01,1.972064595672895493e-01,5.146350347893275945e-01
1.570000000000000062e+00,-2.003461652919053260e-01,2.003461652919051594e-01,5.117014961620400815e-01
1.580000000000000071e+00,-2.035014614807476030e-01,2.035014614807474087e-01,5.086857410008929214e-01
1.590000000000000080e+00,-2.066709246528043997e-01,2.066709246528042332e-01,5.055866888597901898e-01
1.600000000000000089e+00,-2.098530614286060469e-01,2.098530614286058804e-01,5.024033307178619179e-01
1.610000000000000098e+00,-2.130463083366773147e-01,2.130463083366771759e-01,4.991347360406393485e-01
1.620000000000000107e+00,-2.162490318560392755e-01,2.162490318560392200e-01,4.957800600993536588e-01
