t,x,y,z
5.510000000000000453e-01,-3.516462845504096379e-01,-3.516462845504094159e-01,1.483822816999225414e-01
5.520000000000000462e-01,-3.515642410307983079e-01,-3.515642410307979748e-01,1.509147606891090565e-01
5.530000000000000471e-01,-3.514712368015559529e-01,-3.514712368015556754e-01,1.534571100909617736e-01
5.540000000000000480e-01,-3.513671605107884233e-01,-3.513671605107882012e-01,1.560090313423063979e-01
5.550000000000000488e-01,-3.512519045137628693e-01,-3.512519045137627582e-01,1.585702246958317629e-01
5.560000000000000497e-01,-3.511253648970216190e-01,-3.511253648970213970e-01,1.611403893153257605e-01
5.570000000000000506e-01,-3.509874415000253656e-01,-3.509874415000250880e-01,1.637192233709514888e-01
5.580000000000000515e-01,-3.508380379343573052e-01,-3.508380379343570832e-01,1.663064241344633098e-01
5.590000000000000524e-01,-3.506770616005210339e-01,-3.506770616005208119e-01,1.689016880742644777e-01
5.600000000000000533e-01,-3.505044237023654530e-01,-3.505044237023652864e-01,1.715047109502262079e-01
5.610000000000000542e-01,-3.503200392591775958e-01,-3.503200392591775958e-01,1.741151879081701270e-01
5.620000000000000551e-01,-3.501238271154800685e-01,-3.501238271154800685e-01,1.767328135739343886e-01
5.630000000000000560e-01,-3.499157099485786238e-01,-3.499157099485785682e-01,1.793572821469423539e-01
5.640000000000000568e-01,-3.496956142739024997e-01,-3.496956142739023887e-01,1.819882874931911532e-01
5.650000000000000577e-01,-3.494634704481847098e-01,-3.494634704481846543e-01,1.846255232375877964e-01
5.660000000000000586e-01,-3.492192126705311317e-01,-3.492192126705310207e-01,1.872686828555593930e-01
5.670000000000000595e-01,-3.489627789814267467e-01,-3.489627789814266912e-01,1.899174597638716155e-01
5.680000000000000604e-01,-3.486941112597330972e-01,-3.486941112597330417e-01,1.925715474105838543e-01
5.690000000000000613e-01,-3.484131552177267555e-01,-3.484131552177268110e-01,1.952306393640885762e-01
5.700000000000000622e-01,-3.481198603942350922e-01,-3.481198603942352587e-01,1.978944294011697747e-01
5.710000000000000631e-01,-3.478141801459232463e-01,-3.478141801459233018e-01,2.005626115940309095e-01
5.720000000000000639e-01,-3.474960716367877511e-01,-3.474960716367877511e-01,2.032348803962373274e-01
5.730000000000000648e-01,-3.471654958259148271e-01,-3.471654958259148271e-01,2.059109307275331091e-01
5.740000000000000657e-01,-3.468224174535584625e-01,-3.468224174535585180e-01,2.085904580574803602e-01
5.750000000000000666e-01,-3.464668050255967913e-01,-3.464668050255967913e-01,2.112731584878904945e-01
5.760000000000000675e-01,-3.460986307964247777e-01,-3.460986307964248887e-01,2.139587288340029647e-01
5.769999999999999574e-01,-3.457178707503389403e-01,-3.457178707503391069e-01,2.166468667043872642e-01
5.779999999999999583e-01,-3.453245045814751224e-01,-3.453245045814752334e-01,2.193372705795316180e-01
5.789999999999999591e-01,-3.449185156723535428e-01,-3.449185156723538759e-01,2.220296398890978795e-01
5.799999999999999600e-01,-3.444998910710898588e-01,-3.444998910710902473e-01,2.247236750878186529e-01
5.809999999999999609e-01,-3.440686214673291388e-01,-3.440686214673295273e-01,2.274190777300169053e-01
5.819999999999999618e-01,-3.436247011669586460e-01,-3.436247011669590345e-01,2.301155505427343040e-01
5.829999999999999627e-01,-3.431681280656536659e-01,-3.431681280656539990e-01,2.328127974974549819e-01
5.839999999999999636e-01,-3.426989036213139439e-01,-3.426989036213142215e-01,2.355105238804109380e-01
5.849999999999999645e-01,-3.422170328254408589e-01,-3.422170328254412475e-01,2.382084363614697387e-01
5.859999999999999654e-01,-3.417225241735117880e-01,-3.417225241735121211e-01,2.409062430615937500e-01
5.869999999999999662e-01,-3.412153896344005677e-01,-3.412153896344009008e-01,2.436036536188691537e-01
5.879999999999999671e-01,-3.406956446188955656e-01,-3.406956446188960097e-01,2.463003792531140990e-01
5.889999999999999680e-01,-3.401633079473650456e-01,-3.401633079473653232e-01,2.489961328290560827e-01
5.899999999999999689e-01,-3.396184018166177876e-01,-3.396184018166180651e-01,2.516906289180930734e-01
5.909999999999999698e-01,-3.390609517660041483e-01,-3.390609517660044814e-01,2.543835838586455678e-01
5.919999999999999707e-01,-3.384909866428054137e-01,-3.384909866428055247e-01,2.570747158151006628e-01
5.929999999999999716e-01,-3.379085385669520214e-01,-3.379085385669521879e-01,2.597637448353692924e-01
5.939999999999999725e-01,-3.373136428951156729e-01,-3.373136428951156729e-01,2.624503929070621799e-01
5.949999999999999734e-01,-3.367063381842135827e-01,-3.367063381842135827e-01,2.651343840123008277e-01
5.959999999999999742e-01,-3.360866661543661649e-01,-3.360866661543661094e-01,2.678154441811775865e-01
5.969999999999999751e-01,-3.354546716513430726e-01,-3.354546716513429061e-01,2.704933015438851229e-01
5.979999999999999760e-01,-3.348104026085363394e-01,-3.348104026085360063e-01,2.731676863815244993e-01
5.989999999999999769e-01,-3.341539100084913727e-01,-3.341539100084911507e-01,2.758383311756228418e-01
5.999999999999999778e-01,-3.334852478440336609e-01,-3.334852478440333279e-01,2.785049706563610394e-01
6.009999999999999787e-01,-3.328044730790137296e-01,-3.328044730790133965e-01,2.811673418495530541e-01
6.019999999999999796e-01,-3.321116456087105373e-01,-3.321116456087103708e-01,2.838251841223777272e-01
6.029999999999999805e-01,-3.314068282199111870e-01,-3.314068282199111315e-01,2.864782392278961698e-01
6.039999999999999813e-01,-3.306900865506999243e-01,-3.306900865506996468e-01,2.891262513483651153e-01
6.049999999999999822e-01,-3.299614890499761310e-01,-3.299614890499757980e-01,2.917689671373797644e-01
6.059999999999999831e-01,-3.292211069367307896e-01,-3.292211069367304010e-01,2.944061357608497298e-01
6.069999999999999840e-01,-3.284690141590955736e-01,-3.284690141590950740e-01,2.970375089368469945e-01
6.079999999999999849e-01,-3.277052873531910437e-01,-3.277052873531904886e-01,2.996628409743287702e-01
6.089999999999999858e-01,-3.269300058017902133e-01,-3.269300058017896027e-01,3.022818888107677293e-01
6.099999999999999867e-01,-3.261432513928144705e-01,-3.261432513928139154e-01,3.048944120487048215e-01
6.109999999999999876e-01,-3.253451085776807861e-01,-3.253451085776801754e-01,3.075001729912392179e-01
6.119999999999999885e-01,-3.245356643295125298e-01,-3.245356643295118637e-01,3.100989366764808075e-01
