t,x,z
1.495000000000000107e+00,-4.811411080298560461e-01,2.294899806876941062e-01
1.495999999999999996e+00,-4.809883659364715403e-01,2.301507880109920634e-01
1.497000000000000108e+00,-4.808323856353271530e-01,2.308211583698809022e-01
1.497999999999999998e+00,-4.806731333061550204e-01,2.315010328869004097e-01
1.499000000000000110e+00,-4.805105749256305958e-01,2.321903519529075755e-01
1.500000000000000000e+00,-4.803446762829611250e-01,2.328890552320377894e-01
1.501000000000000112e+00,-4.801754029955423997e-01,2.335970816667904681e-01
1.502000000000000002e+00,-4.800027205246691908e-01,2.343143694832380275e-01
1.503000000000000114e+00,-4.798265941913041344e-01,2.350408561963686915e-01
1.504000000000000004e+00,-4.796469891918851980e-01,2.357764786155479853e-01
1.505000000000000115e+00,-4.794638706141827189e-01,2.365211728501171728e-01
1.506000000000000005e+00,-4.792772034531799785e-01,2.372748743151119333e-01
1.507000000000000117e+00,-4.790869526269891931e-01,2.380375177371215900e-01
1.508000000000000007e+00,-4.788930829927797728e-01,2.388090371602706041e-01
1.509000000000000119e+00,-4.786955593627258976e-01,2.395893659523385955e-01
1.510000000000000009e+00,-4.784943465199607004e-01,2.403784368110072622e-01
1.511000000000000121e+00,-4.782894092345294501e-01,2.411761817702417487e-01
1.512000000000000011e+00,-4.780807122793395147e-01,2.419825322068041851e-01
1.513000000000000123e+00,-4.778682204460984462e-01,2.427974188469010086e-01
1.514000000000000012e+00,-4.776518985612325796e-01,2.436207717729646505e-01
1.515000000000000124e+00,-4.774317115017826518e-01,2.444525204305643407e-01
1.516000000000000014e+00,-4.772076242112670563e-01,2.452925936354539427e-01
1.517000000000000126e+00,-4.769796017155123469e-01,2.461409195807532924e-01
1.518000000000000016e+00,-4.767476091384355019e-01,2.469974258442581283e-01
1.519000000000000128e+00,-4.765116117177805588e-01,2.478620393958861912e-01
1.520000000000000018e+00,-4.762715748207967392e-01,2.487346866052546623e-01
1.521000000000000130e+00,-4.760274639598603974e-01,2.496152932493901355e-01
1.522000000000000020e+00,-4.757792448080252479e-01,2.505037845205662639e-01
1.523000000000000131e+00,-4.755268832144987634e-01,2.514000850342770765e-01
1.524000000000000021e+00,-4.752703452200432999e-01,2.523041188373358890e-01
1.525000000000000133e+00,-4.750095970722887362e-01,2.532158094161034434e-01
1.526000000000000023e+00,-4.747446052409565187e-01,2.541350797048468335e-01
1.527000000000000135e+00,-4.744753364329880041e-01,2.550618520942217193e-01
1.528000000000000025e+00,-4.742017576075639451e-01,2.559960484398824954e-01
1.529000000000000137e+00,-4.739238359910280529e-01,2.569375900712170813e-01
1.530000000000000027e+00,-4.736415390916894896e-01,2.578863978002025603e-01
1.531000000000000139e+00,-4.733548347145047352e-01,2.588423919303866616e-01
1.532000000000000028e+00,-4.730636909756477104e-01,2.598054922659838728e-01
1.533000000000000140e+00,-4.727680763169350708e-01,2.607756181210992841e-01
1.534000000000000030e+00,-4.724679595201338733e-01,2.617526883290574591e-01
1.535000000000000142e+00,-4.721633097211151986e-01,2.627366212518590372e-01
1.536000000000000032e+00,-4.718540964238776003e-01,2.637273347897419185e-01
1.536999999999999922e+00,-4.715402895144110706e-01,2.647247463908617426e-01
1.538000000000000034e+00,-4.712218592744139567e-01,2.657287730610757293e-01
1.538999999999999924e+00,-4.708987763948506156e-01,2.667393313738355975e-01
1.540000000000000036e+00,-4.705710119893464771e-01,2.677563374801933405e-01
1.540999999999999925e+00,-4.702385376074134093e-01,2.687797071188978704e-01
1.542000000000000037e+00,-4.699013252475106595e-01,2.698093556266059068e-01
1.542999999999999927e+00,-4.695593473699249953e-01,2.708451979481832916e-01
1.544000000000000039e+00,-4.692125769094692700e-01,2.718871486471067245e-01
1.544999999999999929e+00,-4.688609872880080687e-01,2.729351219159578679e-01
1.546000000000000041e+00,-4.685045524267851258e-01,2.739890315870119331e-01
1.546999999999999931e+00,-4.681432467585656676e-01,2.750487911429125854e-01
1.548000000000000043e+00,-4.677770452395818568e-01,2.761143137274345016e-01
1.548999999999999932e+00,-4.674059233612832820e-01,2.771855121563302493e-01
1.550000000000000044e+00,-4.670298571618811678e-01,2.782622989282577119e-01
1.550999999999999934e+00,-4.666488232376931888e-01,2.793445862357855636e-01
1.552000000000000046e+00,-4.662627987542795616e-01,2.804322859764771247e-01
1.552999999999999936e+00,-4.658717614573626431e-01,2.815253097640416646e-01
1.554000000000000048e+00,-4.654756896835401392e-01,2.826235689395601436e-01
1.554999999999999938e+00,-4.650745623707795429e-01,2.837269745827777356e-01
1.556000000000000050e+00,-4.646683590686909726e-01,2.848354375234543601e-01
1.556999999999999940e+00,-4.642570599485823513e-01,2.859488683527836583e-01
1.558000000000000052e+00,-4.638406458132856014e-01,2.870671774348655947e-01
1.558999999999999941e+00,-4.634190981067622950e-01,2.881902749182334023e-01
1.560000000000000053e+00,-4.629923989234778769e-01,2.893180707474340418e-01
1.560999999999999943e+00,-4.625605310175428531e-01,2.904504746746542354e-01
1.562000000000000055e+00,-4.621234778116262709e-01,2.915873962713959600e-01
1.562999999999999945e+00,-4.616812234056322239e-01,2.927287449401893005e-01
1.564000000000000057e+00,-4.612337525851408770e-01,2.938744299263455484e-01
1.564999999999999947e+00,-4.607810508296127372e-01,2.950243603297459938e-01
1.566000000000000059e+00,-4.603231043203516171e-01,2.961784451166660226e-01
1.566999999999999948e+00,-4.598598999482322869e-01,2.973365931316198640e-01
1.568000000000000060e+00,-4.593914253211778265e-01,2.984987131092420309e-01
1.568999999999999950e+00,-4.589176687714069391e-01,2.996647136861798066e-01
1.570000000000000062e+00,-4.584386193624254147e-01,3.008345034130133211e-01
1.570999999999999952e+00,-4.579542668957824469e-01,3.020079907661867846e-01
1.572000000000000064e+00,-4.574646019175759859e-01,3.031850841599548763e-01
1.572999999999999954e+00,-4.569696157247130630e-01,3.043656919583346276e-01
1.574000000000000066e+00,-4.564693003709293651e-01,3.055497224870663553e-01
1.574999999999999956e+00,-4.559636486725537896e-01,3.067370840455754810e-01
1.576000000000000068e+00,-4.554526542140318046e-01,3.079276849189346299e-01
1.576999999999999957e+00,-4.549363113532036706e-01,3.091214333898177902e-01
1.578000000000000069e+00,-4.544146152263227600e-01,3.103182377504534184e-01
1.578999999999999959e+00,-4.538875617528472239e-01,3.115180063145613909e-01
1.580000000000000071e+00,-4.533551476399629854e-01,3.127206474292774097e-01
1.580999999999999961e+00,-4.528173703868773048e-01,3.139260694870598112e-01
1.582000000000000073e+00,-4.522742282888546628e-01,3.151341809375801106e-01
1.582999999999999963e+00,-4.517257204410085603e-01,3.163448902995808498e-01
1.584000000000000075e+00,-4.511718467418560086e-01,3.175581061727155152e-01
1.584999999999999964e+00,-4.506126078966152804e-01,3.187737372493523180e-01
1.586000000000000076e+00,-4.500480054202658509e-01,3.199916923263484980e-01
1.586999999999999966e+00,-4.494780416403626466e-01,3.212118803167854919e-01
1.588000000000000078e+00,-4.489027196996129843e-01,3.224342102616664096e-01
1.588999999999999968e+00,-4.483220435582015440e-01,3.236585913415669369e-01
1.590000000000000080e+00,-4.477360179958852493e-01,3.248849328882493781e-01
1.590999999999999970e+00,-4.471446486138430654e-01,3.261131443962161369e-01
1.592000000000000082e+00,-4.465479418362906516e-01,3.273431355342225624e-01
1.592999999999999972e+00,-4.459459049118505991e-01,3.285748161567243475e-01
1.594000000000000083e+00,-4.453385459147018999e-01,3.298080963152806300e-01
1.594999999999999973e+00,-4.447258737454781174e-01,3.310428862698796548e-01
1.596000000000000085e+00,-4.441078981319457331e-01,3.322790965002186958e-01
1.596999999999999975e+00,-4.434846296294490120e-01,3.335166377169041518e-01
1.598000000000000087e+00,-4.428560796211175044e-01,3.347554208725886937e-01
1.598999999999999977e+00,-4.422222603178586064e-01,3.359953571730373012e-01
1.600000000000000089e+00,-4.415831847581166980e-01,3.372363580881156397e-01
1.600999999999999979e+00,-4.409388668074076811e-01,3.384783353627018876e-01
1.602000000000000091e+00,-4.402893211576368593e-01,3.397212010275226790e-01
1.602999999999999980e+00,-4.396345633261914965e-01,3.409648674098991750e-01
1.604000000000000092e+00,-4.389746096548206578e-01,3.422092471444164730e-01
1.604999999999999982e+00,-4.383094773082972795e-01,3.434542531834983148e-01
1.606000000000000094e+00,-4.376391842728611925e-01,3.446997988078973618e-01
1.606999999999999984e+00,-4.369637493544623608e-01,3.459457976370877708e-01
1.608000000000000096e+00,-4.362831921767853505e-01,3.471921636395691735e-01
1.608999999999999986e+00,-4.355975331790677973e-01,3.484388111430659629e-01
1.610000000000000098e+00,-4.349067936137224755e-01,3.496856548446358737e-01
1.610999999999999988e+00,-4.342109955437479241e-01,3.509326098206682065e-01
1.612000000000000099e+00,-4.335101618399423984e-01,3.521795915367826324e-01
1.612999999999999989e+00,-4.328043161779247527e-01,3.534265158576230803e-01
1.614000000000000101e+00,-4.320934830349585365e-01,3.546732990565411581e-01
1.614999999999999991e+00,-4.313776876865768606e-01,3.559198578251661638e-01
