t,x,y,z
9.190000000000000391e-01,-1.122060445271757106e-01,-1.122060445271745865e-01,5.774425835499699122e-01
9.200000000000000400e-01,-1.125183884171484933e-01,-1.125183884171473830e-01,5.773073353976749811e-01
9.210000000000000409e-01,-1.128419659052212060e-01,-1.128419659052200680e-01,5.771669577723570477e-01
9.220000000000000417e-01,-1.131767491597688857e-01,-1.131767491597677477e-01,5.770214142672107638e-01
9.230000000000000426e-01,-1.135227095975109984e-01,-1.135227095975098049e-01,5.768706672097788646e-01
9.240000000000000435e-01,-1.138798178938572742e-01,-1.138798178938561778e-01,5.767146776724865198e-01
9.250000000000000444e-01,-1.142480439726901303e-01,-1.142480439726890062e-01,5.765534054915318896e-01
9.260000000000000453e-01,-1.146273569951098414e-01,-1.146273569951087173e-01,5.763868092860929826e-01
9.270000000000000462e-01,-1.150177253494962387e-01,-1.150177253494950591e-01,5.762148464769777378e-01
9.280000000000000471e-01,-1.154191166428487070e-01,-1.154191166428475274e-01,5.760374733048275742e-01
9.290000000000000480e-01,-1.158314976930554380e-01,-1.158314976930542167e-01,5.758546448481096647e-01
9.300000000000000488e-01,-1.162548345220017071e-01,-1.162548345220005275e-01,5.756663150409718765e-01
9.310000000000000497e-01,-1.166890923492769211e-01,-1.166890923492757276e-01,5.754724366911179168e-01
9.320000000000000506e-01,-1.171342355863347340e-01,-1.171342355863335266e-01,5.752729614977882822e-01
9.330000000000000515e-01,-1.175902278310615029e-01,-1.175902278310602678e-01,5.750678400698886472e-01
9.340000000000000524e-01,-1.180570318626255610e-01,-1.180570318626243675e-01,5.748570219443395191e-01
9.350000000000000533e-01,-1.185346096365426927e-01,-1.185346096365415547e-01,5.746404556046826873e-01
9.360000000000000542e-01,-1.190229222799603914e-01,-1.190229222799591979e-01,5.744180884999549042e-01
9.370000000000000551e-01,-1.195219300870543344e-01,-1.195219300870531826e-01,5.741898670638790891e-01
9.380000000000000560e-01,-1.200315925145940682e-01,-1.200315925145928747e-01,5.739557367343514072e-01
9.390000000000000568e-01,-1.205518681775726991e-01,-1.205518681775716028e-01,5.737156419732752921e-01
9.400000000000000577e-01,-1.210827148449698659e-01,-1.210827148449687835e-01,5.734695262867091081e-01
9.410000000000000586e-01,-1.216240894355647417e-01,-1.216240894355636731e-01,5.732173322453690822e-01
9.420000000000000595e-01,-1.221759480138541742e-01,-1.221759480138530779e-01,5.729590015054593088e-01
9.430000000000000604e-01,-1.227382457860304588e-01,-1.227382457860293624e-01,5.726944748298518073e-01
9.440000000000000613e-01,-1.233109370960359802e-01,-1.233109370960349949e-01,5.724236921096055308e-01
9.450000000000000622e-01,-1.238939754217132372e-01,-1.238939754217122241e-01,5.721465923858161107e-01
9.460000000000000631e-01,-1.244873133710013013e-01,-1.244873133710002466e-01,5.718631138718169860e-01
9.470000000000000639e-01,-1.250909026782400513e-01,-1.250909026782390521e-01,5.715731939757020541e-01
9.480000000000000648e-01,-1.257046942005337620e-01,-1.257046942005327350e-01,5.712767693231919353e-01
9.490000000000000657e-01,-1.263286379142420923e-01,-1.263286379142410931e-01,5.709737757808077685e-01
9.500000000000000666e-01,-1.269626829115269862e-01,-1.269626829115260147e-01,5.706641484793865127e-01
9.510000000000000675e-01,-1.276067773970147867e-01,-1.276067773970138708e-01,5.703478218379067766e-01
9.520000000000000684e-01,-1.282608686845815305e-01,-1.282608686845806145e-01,5.700247295876187392e-01
9.530000000000000693e-01,-1.289249031941852031e-01,-1.289249031941843149e-01,5.696948047965141315e-01
9.540000000000000702e-01,-1.295988264489424113e-01,-1.295988264489415509e-01,5.693579798940338055e-01
9.550000000000000711e-01,-1.302825830721544842e-01,-1.302825830721535683e-01,5.690141866961613282e-01
9.560000000000000719e-01,-1.309761167846240359e-01,-1.309761167846232033e-01,5.686633564307254085e-01
9.570000000000000728e-01,-1.316793704020189637e-01,-1.316793704020180755e-01,5.683054197630302840e-01
9.580000000000000737e-01,-1.323922858323719753e-01,-1.323922858323710872e-01,5.679403068217726558e-01
9.590000000000000746e-01,-1.331148040738046323e-01,-1.331148040738037441e-01,5.675679472251837776e-01
9.599999999999999645e-01,-1.338468652122915548e-01,-1.338468652122906943e-01,5.671882701075043887e-01
9.609999999999999654e-01,-1.345884084197199460e-01,-1.345884084197191133e-01,5.668012041456415018e-01
9.619999999999999662e-01,-1.353393719519637994e-01,-1.353393719519629668e-01,5.664066775861604786e-01
9.629999999999999671e-01,-1.360996929886161277e-01,-1.360996929886152396e-01,5.660046183631332051e-01
9.639999999999999680e-01,-1.368693079604083873e-01,-1.368693079604075546e-01,5.655949539380986657e-01
9.649999999999999689e-01,-1.376481519123624597e-01,-1.376481519123615438e-01,5.651776116945951278e-01
9.659999999999999698e-01,-1.384361595360543429e-01,-1.384361595360534825e-01,5.647525183685171424e-01
9.669999999999999707e-01,-1.392332648850621857e-01,-1.392332648850612975e-01,5.643196002392527610e-01
9.679999999999999716e-01,-1.400394007107686467e-01,-1.400394007107677863e-01,5.638787835381855462e-01
9.689999999999999725e-01,-1.408544988364934525e-01,-1.408544988364925921e-01,5.634299942640845771e-01
9.699999999999999734e-01,-1.416784901581003564e-01,-1.416784901580995515e-01,5.629731582114606558e-01
9.709999999999999742e-01,-1.425134052847025490e-01,-1.425134052847016330e-01,5.625069270793864318e-01
9.719999999999999751e-01,-1.433622257090056418e-01,-1.433622257090048091e-01,5.620293672160008303e-01
9.729999999999999760e-01,-1.442203065401154172e-01,-1.442203065401144735e-01,5.615431269918903512e-01
9.739999999999999769e-01,-1.450870926837368180e-01,-1.450870926837359298e-01,5.610484095049214082e-01
9.749999999999999778e-01,-1.459624259363844490e-01,-1.459624259363836440e-01,5.605451912238584855e-01
9.759999999999999787e-01,-1.468462040206860719e-01,-1.468462040206851837e-01,5.600334155957422677e-01
9.769999999999999796e-01,-1.477383346823212817e-01,-1.477383346823204768e-01,5.595130190574163498e-01
9.779999999999999805e-01,-1.486387288959546971e-01,-1.486387288959538922e-01,5.589839350827708886e-01
9.789999999999999813e-01,-1.495472993937753126e-01,-1.495472993937744799e-01,5.584460952290957181e-01
9.799999999999999822e-01,-1.504639600242280162e-01,-1.504639600242271835e-01,5.578994296793867713e-01
9.809999999999999831e-01,-1.513886253192986420e-01,-1.513886253192979203e-01,5.573438676304136585e-01
9.819999999999999840e-01,-1.523212101661973461e-01,-1.523212101661964579e-01,5.567793375921564758e-01
9.829999999999999849e-01,-1.532616295526476879e-01,-1.532616295526467998e-01,5.562057676228630010e-01
9.839999999999999858e-01,-1.542097983683120843e-01,-1.542097983683111406e-01,5.556230855152061165e-01
9.849999999999999867e-01,-1.551656312499267720e-01,-1.551656312499257728e-01,5.550312189449001510e-01
9.859999999999999876e-01,-1.561290424604372395e-01,-1.561290424604362959e-01,5.544300955906001915e-01
9.869999999999999885e-01,-1.570999457947599709e-01,-1.570999457947589717e-01,5.538196432317841200e-01
9.879999999999999893e-01,-1.580782545063087186e-01,-1.580782545063076916e-01,5.531997898298658400e-01
9.889999999999999902e-01,-1.590638812498962884e-01,-1.590638812498952614e-01,5.525704635964618916e-01
9.899999999999999911e-01,-1.600567380374509630e-01,-1.600567380374499360e-01,5.519315930519198554e-01
9.909999999999999920e-01,-1.610567318344346688e-01,-1.610567318344335863e-01,5.512831102080699708e-01
9.919999999999999929e-01,-1.620637169601348848e-01,-1.620637169601337191e-01,5.506249848293565119e-01
9.929999999999999938e-01,-1.630776663806566273e-01,-1.630776663806556281e-01,5.499571018643203413e-01
9.939999999999999947e-01,-1.640984896986937835e-01,-1.640984896986928121e-01,5.492793913342394196e-01
9.949999999999999956e-01,-1.651260950184356147e-01,-1.651260950184345877e-01,5.485917842719484350e-01
9.959999999999999964e-01,-1.661603896692936122e-01,-1.661603896692927240e-01,5.478942122454991681e-01
9.969999999999999973e-01,-1.672012802805190046e-01,-1.672012802805181442e-01,5.471866073458946378e-01
9.979999999999999982e-01,-1.682486727752917077e-01,-1.682486727752907640e-01,5.464689022274993313e-01
9.989999999999999991e-01,-1.693024723587268632e-01,-1.693024723587258362e-01,5.457410301512533035e-01
1.000000000000000000e+00,-1.703625835087976548e-01,-1.703625835087966833e-01,5.450029250250774115e-01
1.001000000000000112e+00,-1.714289099706188535e-01,-1.714289099706178543e-01,5.442545214414794552e-01
1.002000000000000002e+00,-1.725013547534451630e-01,-1.725013547534441916e-01,5.434957547130006006e-01
1.003000000000000114e+00,-1.735798201300009225e-01,-1.735798201299999510e-01,5.427265609059032103e-01
1.004000000000000004e+00,-1.746642076376711816e-01,-1.746642076376701824e-01,5.419468768725149710e-01
1.005000000000000115e+00,-1.757544180811432266e-01,-1.757544180811423107e-01,5.411566402825879196e-01
1.006000000000000005e+00,-1.768503515364062695e-01,-1.768503515364052703e-01,5.403557896537621863e-01
1.007000000000000117e+00,-1.779519073557447040e-01,-1.779519073557437603e-01,5.395442643814272188e-01
1.008000000000000007e+00,-1.790589841736805465e-01,-1.790589841736796028e-01,5.387220047680140178e-01
1.009000000000000119e+00,-1.801714799136677203e-01,-1.801714799136668044e-01,5.378889520518629341e-01
1.010000000000000009e+00,-1.812892917954951333e-01,-1.812892917954942451e-01,5.370450484356940057e-01
1.011000000000000121e+00,-1.824123163432689321e-01,-1.824123163432680994e-01,5.361902371147635460e-01
1.012000000000000011e+00,-1.835404493939689630e-01,-1.835404493939682413e-01,5.353244623046943262e-01
1.013000000000000123e+00,-1.846735861064800477e-01,-1.846735861064793260e-01,5.344476692690460773e-01
1.014000000000000012e+00,-1.858116209710799493e-01,-1.858116209710792277e-01,5.335598043466156515e-01
1.015000000000000124e+00,-1.869544478193613524e-01,-1.869544478193606585e-01,5.326608149784723967e-01
1.016000000000000014e+00,-1.881019598345457233e-01,-1.881019598345450849e-01,5.317506497347436190e-01
1.017000000000000126e+00,-1.892540495621655439e-01,-1.892540495621649610e-01,5.308292583411493570e-01
